;Unnamed: 0;Tweet;Emosi;step01;tokens;tokens_perbaikan;final_tokens;step02;ProcessedText
10;10.0;Sah.. Cegah Covid-19 Meluas, Pemerintah Revisi Hari Libur dan Cuti Bersama 2020;2.0;sah cegah covid number meluas pemerintah revisi hari libur dan cuti bersama number;['sah', 'cegah', 'covid', 'number', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama', 'number'];['sah', 'cegah', 'covid', 'number', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama', 'number'];['sah', 'cegah', 'covid', 'number', 'meluas', 'pemerintah', 'revisi', 'hari', 'libur', 'dan', 'cuti', 'bersama', 'number'];sah cegah covid number meluas pemerintah revisi hari libur dan cuti bersama number;sah cegah covid number luas perintah revisi hari libur cuti sama number
11;11.0;"Bencana Nasional Covid-19; DPRD Indramayu Minta BUMD Beri Keringanan Tagihan Kredit hingga Tagihan PDAM |";2.0;bencana nasional covid number dprd indramayu minta bumd beri keringanan tagihan kredit hingga tagihan pdam;['bencana', 'nasional', 'covid', 'number', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam'];['bencana', 'nasional', 'covid', 'number', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam'];['bencana', 'nasional', 'covid', 'number', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam'];bencana nasional covid number dprd indramayu minta bumd beri keringanan tagihan kredit hingga tagihan pdam;bencana nasional covid number dprd indramayu minta bumd beri ringan tagih kredit hingga tagih pdam
12;12.0;Cegah Covid-19, Pemprov dan FKUB Papua Barat Sepakat Adakan Doa Bersama Serentak. OPM;-1.0;cegah covid number pemprov dan fkub papua barat sepakat adakan doa bersama serentak opm;['cegah', 'covid', 'number', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm'];['cegah', 'covid', 'number', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm'];['cegah', 'covid', 'number', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm'];cegah covid number pemprov dan fkub papua barat sepakat adakan doa bersama serentak opm;cegah covid number pemprov fkub papua barat sepakat adakan doa sama serentak opm
13;13.0;"pagi... kenapa ya di daerah sy (cipinang besar selatan) rt 7 rw 6 nya tdk prnh aware dgn warganya. Setiap ada bantuan tidak pernah transparansi &amp; kejadian covid ini jg tidak ada tindakan semprot disinfektan, dbd jg banyak tp tidak ada fogging. Tp uang kas ttp jalan";-2.0;pagi kenapa ya di daerah sy cipinang besar selatan rt number rw number nya tdk prnh aware dgn warganya setiap ada bantuan tidak pernah transparansi kejadian covid ini jg tidak ada tindakan semprot disinfektan dbd jg banyak tp tidak ada fogging tp uang kas ttp jalan;['pagi', 'kenapa', 'ya', 'di', 'daerah', 'sy', 'cipinang', 'besar', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tp', 'tidak', 'ada', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan'];['pagi', 'kenapa', 'iya', 'di', 'daerah', 'saya', 'cipinang', 'besar', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'tidak', 'prnh', 'aware', 'dengan', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tapi', 'tidak', 'ada', 'fogging', 'tapi', 'uang', 'kas', 'tetap', 'jalan'];['pagi', 'kenapa', 'iya', 'di', 'daerah', 'saya', 'cipinang', 'besar', 'selatan', 'rt', 'number', 'rw', 'number', 'nya', 'tidak', 'prnh', 'aware', 'dengan', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tapi', 'tidak', 'ada', 'fogging', 'tapi', 'uang', 'kas', 'tetap', 'jalan'];pagi kenapa iya di daerah saya cipinang besar selatan rt number rw number nya tidak prnh aware dengan warganya setiap ada bantuan tidak pernah transparansi kejadian covid ini jg tidak ada tindakan semprot disinfektan dbd jg banyak tapi tidak ada fogging tapi uang kas tetap jalan;pagi iya daerah cipinang besar selatan number rw number prnh aware warga bantu pernah transparansi jadi covid jg tidak ada tindak semprot disinfektan dbd jg banyak tidak ada fogging uang kas tetap jalan
14;14.0;Skrinews - Pdt. JIMMY: MARI BERSAMA MEMERANGI VIRUS CORONA (COVID-19) DEMI MENJAGA TANAH PAPUA;2.0;skrinews pdt jimmy mari bersama memerangi virus corona covid number demi menjaga tanah papua;['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'number', 'demi', 'menjaga', 'tanah', 'papua'];['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'number', 'demi', 'menjaga', 'tanah', 'papua'];['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'number', 'demi', 'menjaga', 'tanah', 'papua'];skrinews pdt jimmy mari bersama memerangi virus corona covid number demi menjaga tanah papua;skrinews pdt jimmy sama rang virus corona covid number jaga tanah papua
15;15.0;Ada 15 cara menyuruh Covid-19 segera pergi, Jaga kebersihan dan ketertiban. Bukankah Covid-19 telah mendidik kita agar selalu menjaga kebersihan badan, pakaian, barang dan lingkungan dengan rajin mandi, mencuci tangan, dan tidak sembarangan membuang sampah?;1.0;ada number cara menyuruh covid number segera pergi jaga kebersihan dan ketertiban bukankah covid number telah mendidik kita agar selalu menjaga kebersihan badan pakaian barang dan lingkungan dengan rajin mandi mencuci tangan dan tidak sembarangan membuang sampah;['ada', 'number', 'cara', 'menyuruh', 'covid', 'number', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'number', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];['ada', 'number', 'cara', 'menyuruh', 'covid', 'number', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'number', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];['ada', 'number', 'cara', 'menyuruh', 'covid', 'number', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'number', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];ada number cara menyuruh covid number segera pergi jaga kebersihan dan ketertiban bukankah covid number telah mendidik kita agar selalu menjaga kebersihan badan pakaian barang dan lingkungan dengan rajin mandi mencuci tangan dan tidak sembarangan membuang sampah;number cara suruh covid number segera pergi jaga bersih tertib bukankah covid number didik agar selalu jaga bersih badan pakai barang lingkung rajin mandi cuci tangan tidak sembarang buang sampah
16;16.0;Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit Covid-19. OPM;1.0;kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit covid number opm;['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'number', 'opm'];['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'number', 'opm'];['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'number', 'opm'];kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit covid number opm;menteri agama provinsi papua barat azis hegemur kata umat islam provinsi papua barat imbau tidak tolak makam jenazah pasien positif jangkit covid number opm
17;17.0;Aku baru bangun tidur, dan menyeruput kopi sedikit. Ketika ibuk mencak2 gak karuan. Satu orang pahlawan garis depan Covid-19 meninggal dunia dan ditolak warga setempat. Mungkin lebih tepatnya sekolompok warga yang kurang edukasi.;-2.0;aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak2 gak karuan satu orang pahlawan garis depan covid number meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi;['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak2', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'number', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak2', 'tidak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'number', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak2', 'tidak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'number', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak2 tidak karuan satu orang pahlawan garis depan covid number meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi;aku baru bangun tidur seruput kopi sedikit ibuk mencak2 karuan satu orang pahlawan garis depan covid number tinggal dunia tolak warga tempat mungkin lebih tepat sekolompok warga kurang edukasi
18;18.0;Jangan mudik dong! Ancaman penyebaran COVID-19 yang lebih luas. - Tandatangani Petisi! via;1.0;jangan mudik dong ancaman penyebaran covid number yang lebih luas tandatangani petisi via;['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'number', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'number', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'number', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];jangan mudik dong ancaman penyebaran covid number yang lebih luas tandatangani petisi via;jangan mudik dong ancam sebar covid number lebih luas tandatangani petisi via
19;19.0;Berita seperti ini tidak akan ditengok oleh Muflis DUNGU Kecuali berita HOAX macam kudeta MBS, 150 pangeran kena COVID-19 yg sumbernya sama dari kaum LIBERAL;-2.0;berita seperti ini tidak akan ditengok oleh muflis dungu kecuali berita hoax macam kudeta mbs number pangeran kena covid number yg sumbernya sama dari kaum liberal;['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'macam', 'kudeta', 'mbs', 'number', 'pangeran', 'kena', 'covid', 'number', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal'];['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'bohong', 'macam', 'kudeta', 'mbs', 'number', 'pangeran', 'kena', 'covid', 'number', 'yang', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal'];['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'bohong', 'macam', 'kudeta', 'mbs', 'number', 'pangeran', 'kena', 'covid', 'number', 'yang', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal'];berita seperti ini tidak akan ditengok oleh muflis dungu kecuali berita bohong macam kudeta mbs number pangeran kena covid number yang sumbernya sama dari kaum liberal;berita ini akan tengok muflis dungu berita bohong macam kudeta mbs number pangeran kena covid number sumber sama kaum liberal
20;20.0;Giat Bhabinkamtibmas Polsek Tamalatea bersama Aparatur Desa Kareloe dan Relawan melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19;1.0;giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid number;['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid', 'number'];['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid', 'number'];['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid', 'number'];giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid number;giat bhabinkamtibmas polsek tamalatea sama aparatur desa kareloe rawan laku semprot disinfektan cegah sebar virus covid number
21;21.0;Temanggung, Jawa Tengah...anggota gugus tugas covid 19 kelurahan mungseng, temanggung...mau tak bagiin di posko...;2.0;temanggung jawa tengah anggota gugus tugas covid number kelurahan mungseng temanggung mau tak bagiin di posko;['temanggung', 'jawa', 'tengah', 'anggota', 'gugus', 'tugas', 'covid', 'number', 'kelurahan', 'mungseng', 'temanggung', 'mau', 'tak', 'bagiin', 'di', 'posko'];['temanggung', 'jawa', 'tengah', 'anggota', 'gugus', 'tugas', 'covid', 'number', 'kelurahan', 'mungseng', 'temanggung', 'mau', 'tak', 'bagiin', 'di', 'posko'];['temanggung', 'jawa', 'tengah', 'anggota', 'gugus', 'tugas', 'covid', 'number', 'kelurahan', 'mungseng', 'temanggung', 'mau', 'tak', 'bagiin', 'di', 'posko'];temanggung jawa tengah anggota gugus tugas covid number kelurahan mungseng temanggung mau tak bagiin di posko;tanggung jawa tengah anggota gugus tugas covid number lurah mungseng tanggung mau tak bagiin posko
