,Tweet,Sentimen,Emosi
23,"Btw long weekend ni pada mau kemana... Dulu sebelum ada nya si covid 19 ini long weekend itu yang paling di nanti .., eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae (DASAR AKU)",0.0,-1
24,Hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid-19 kemana ya?,1.0,-2
25,"Hei guys, gw mau ngajak kalian untuk agar pandemik covid-19 ini lekas hilang. Aamiin.Gimana?? Kurangin dah tuh nongki2, halan2, atau segala aktivitas diluar ruangan. Yuk belajar utbk aja, tau sendirikan pesaing lo tuh buanyak banget. Yok ",1.0,1
26,JANGAN ADA DUSTA DIANTARA KITA: Kisah Pilu Dokter Menangani Pasien Yang Ternyata Positif Covid-19,1.0,-1
27,COVID-19 Telah Bermutasi? Ada Gelombang Kedua Virus Corona,-1.0,1
28,Salam Jumaat.. Ya Allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik.. Jauhilah kami dari segala penyakit berjangkit covid 19 dan hamba mu yang sedang berjuang kesakitan yang berada di hospital..,1.0,-1
29,Saya kuatir test Covid-19 belum menyeluruh Tau2 nanti ada korban tergeletak mati suspek corona Ngeri,1.0,-1
30,Ada yang kek gue saking fokus sama berita soal covid hari ini siap siap kerja padahalan tanggal merah .yalord,0.0,-2
31,"Berarti dah lama gak gitaran, mungkin mau bikin album lagu buat Corona Covid Yudhoyono.",-1.0,-1
32,"Berat Mbah, terlalu banyak kemungkinan  Sedang haid gak ndang mampet, Jualan online gak payu-payu, Lagi horny sing lanang mumet covid, Sudah masak enak dapat berkatan yg lebih enak, Sariawan,Loro untu,Keputihan,Murus ilate kecakot  Bengese anyar  Masker kerlisut Dst...",-1.0,-1
33,Amalkan langkah-langkah pencegahan penularan COVID-19 sebagai amalan dalam kehidupan seharian kita.,1.0,2
34,"Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positifcterjangkit Covid-19. OPM",1.0,-2
35,Bumi..Maafkan Kami..Yang Tak Pernah Sadar.. Bahwa Kau Juga Butuh Istirahat.. ,1.0,-1
36,"Kalau ga ada covid, jam segini gue udah mulai pendakian dari pos Cangkuang",0.0,-1
37,"Developers biang rusuh. Proyek konstruksi swasta termasuk yg dikecualikan untuk ""freeze"" dlm psbb dki oleh gub , pdhl dlm permenkes tdk termasuk yg dikecualikan. Juga, proyek-2 konstruksi besar berpotensi menjadi kluster penyebaran covid krn padat. Bijimane nih?",0.0,1
38,"Kalau tidak dimulai dari diri sendiri, mana mungkin.Yukkk...kita putus mata rantai penyemangat Covid-19 di Indonesia dimulai dari diri sendiri.",1.0,2
39,Sinergitas TNI-POLRI untuk mencegah penyebaran Virus Covid-19,1.0,1
40,Kucing bukan penyebar COVID-19 kepada manusia - Jabatan Perkhidmatan Veterinar,1.0,-1
41,Pemkab Wondama Perbanyak Pos Pemantauan Covid-19. OPM,1.0,1
42,COVID-19: Pelajar UNIMAS berusia 23 tahun maut,-1.0,-1
43,"Murid2 mamaku dikasih tugas menggambar poster pencegahan covid-19 anak2nya malah pada nggambar virus segede gaban, dibawahnya dikasih tulisan ""Ya Allah lindungilah aku"" ",1.0,-1
44,Meluasnya pandemi Coronavirus disease 2019 (Covid-19) di Indonesia termasuk di Papua berdampak pada sejumlah sektor salah satunya perhotelan. OPM,0.0,-1
45,"Ada Gelombang Kedua Virus Corona, COVID-19 Telah Bermutasi?",-1.0,1
46,"Bantuan Masyarakat Terus Mengalir, Rekening Gugus Tugas Covid-19 Sudah Terisi Rp 193 Miliar",1.0,2
47,"Ada 15 cara mnyuruh Covid-19 sgera pergi Jangan lagi jauh dari Allah Sang Maha Pencipta. Bukankh Covid-19 telah mendidik kita, dlm suasana Covid-19 aktif menyebar, semua org ketakutan &amp; semua org baru mendekat berdzikir dan berdoa, memohon perlindungan Allah Sang Kholiq?.",1.0,1
48,Di malaysia kena covid temen temen lo yang pada ga punya kerjaan pada pulang ke indonesia ada 47 rb orang dan juga mereka ber resiko bawa tuh virus ga boleh pulang juga?,1.0,-2
49,"Skrinews - CEGAH PENYEBARAN VIRUS CORONA, WARTAWAN MEDIA SKRI JADI SATGAS RELAWAN COVID-19 DIDESANYA.",1.0,1
50,Lebaran sebentar lagi. Gara2 covid 19 lebaran apa masih pada butuh aksesoris enggak ya?,0.0,1
51,Giat Bhabinkamtibmas bersama masyarakat melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19,1.0,1
52,Kasih Sayang Allah di Balik Musibah Covid-19 ,0.0,-1
53,Anggota Polsek Koba Himbau para pemuda Tidak Kumpul-kumpul dan segera pulang kerumahnya masing-masing untuk mencegah penyebaran COVID-19.,1.0,1
54,"met pagi NKRI...spy g trlalu heboh data kematian covid 19...jadikan perbandingan kematian seluruh prop d indon sblm wabah corona terjadi d indon....jk jumlahnya setara kematian sblm &amp; stlh corona...mk jumlah tsb angka kematian norma"" sj....",1.0,2
55,tido la tak nak harap apa apa dia dari azali takde hati macam tu cuba berharap covid takde je tu je,0.0,-1
56,"Untuk mengetahui bagaimana mencegah penyakit wabak COVID-19, sila baca risalah ini",0.0,1
57,Iya sel. Aku liat dengerin Lukman Sardi bilang. Rumah Sakit penuh. Makanya disuruh pulang. Orang awam kan taunya diusir padahal triase. Artinya emang di JKT parah banget covid shg orang2 dg sakit parah lain mlh jd kena triase,0.0,1
58,Kopi pagi ini cukup nikmat.Kabar baiknya pemerintah Aceh menyalurkan bantuan pokok utk Masyarakat terdampak Covid-19 dgn kriteria bukan penerima PKH & BPNT.Alhamdulillah ,1.0,2
59,"Hingga 9 April, Polri Tindak 18 Kasus Penyimpangan Produksi dan Distribusi APD COVID-19",1.0,2
60,eh bacot lu lbih parah dari covid.. anjing sia ke bele... pantat korengan.. sok2 blgu,-1.0,-2
61,Lumpuhnya Peran Negara dalam Menangani Covid-19 - Tegakkan agar terwujud -,0.0,-1
62,"my liberty ends where your nose begins"" ... pas banget di era COVID-19 ... dicolek-colek hidungnya di masa normal aja nggak mau, apalagi di masa COVID-19",0.0,-2
63,TERKEJUT!!..kami terkanjat je Warga Indonesia terkejut dgn tindakan pemerintah Malaysia menjaga rakyatnya dgn pemberian pelbagai insentif dsaat pelaksanaan PKP berikutan penularan wabak COVID-19.(Baca komen warga Indonesia di ruang komen Youtube),1.0,1
64,Sugeng ambal Warso...  kita bahgia saat ini adalah covid segera teratasi dan semua bisa melakukan kegiatan seperti biasa...,1.0,2
65,"Tinggal jawab : Covid 18 emak belum lahir Dek, jadi emak gak tau. Emak kan waktu itu masih jadi hawa nafsu.",-1.0,-1
66,"Bakal susah keknya memutus mata rantai COVID-19 di Indonesia. Selain tentang budaya masyarakat yang mayoritas belanja ke pasar tradisional, masih banyak juga yang keluar rumah cuma mau ngereceh.",0.0,-2
67,"4. Langkah yg dapat di ambil pemerintah dalam mengatasi dampak Covid-19 terhadap Kerjasama Internasional  Jawab :v1. Pengumpulan data kesakitan dan kematian penduduk. 2. Pemeriksaan klinis, fisik, laboratorium dan penegakan diagnosis",1.0,1
68,Kurangkan risiko awda terhadap jangkitan virus COVID-19,1.0,1
69,"Ini Tips Ilmuwan Cara Tingkatkan Kekebalan Tubuh, Mari Bersama Kita Lawan Covid-19 Sistem ketahanan tubuh adalah mekanisme yang efektif untuk menjaga tubuh dari serangan penyakit. via",1.0,1
70,"Selamat memperingati Jumat Agung. Selamat memaknai arti pengorbanan-Nya yang sesungguhnya demi cinta kasih. Di masa kini, pengorbanan kita untuk melawan Covid-19 juga pasti berbuah baik, sama seperti datangnya Paskah di kemudian hari.Happy Good Friday!",1.0,-1
71,"Pandemi Covid-19, Mendikbud: Dana BOS Bisa Digunakan Membeli Kuota Internet Siswa",1.0,2
72,"Semoga diberikan kesehatan jasmani n rohani, ya dok. Dan semoga kita semua selalu dalam Lindungan ALLAH SWT agar terhindar dari fitnah dajjal. Aamiin Mulut senantiasa selalu berdzikir, insyaALLAH bs mjdi tameng virus covid-19 selain ikhtiar.",1.0,-1
73,"30.000 Lebih Narapidana Bebas di Tengah Wabah Covid-19, Termasuk Koruptor??? | Serba-serbi MMC",-1.0,-2
74,Semoga segera diberi kesembuhan & jgn coba2 lg menulis corona tentara Allah. Virus tdk mengenal sara. Marilah berdoa spy wabah ini segera berakhir. Amiiin ,1.0,-1
75,"Kalo emang kehati hatian bisa mencegah corona..mungkin pangeran Charles tidak akan terpapar covid 19, krn hidupnya paling hati2 dan terjaga.",1.0,-1
76,gejala covid,0.0,1
77,"Kemarin yakin sekali kedepan akan seperti ini dan itu, taunya wabah covid 19 merubah semuannya. Sekarang doannya samal allah mintannya dirahmati dan dilindungi dimudahkan serta menjadi orang yang beruntung. Jangan sok kuat bro.. kita diatur jangan sok2 mengatur. ",-1.0,-2
78,covid,0.0,1
79,Covid i oleh renang ra to,-1.0,1
80,Bapak Anies dong...karena beliau dan jajarannya yang dari awal konsisten melawan covid 19.hanya saja di jegal oleh pusat..,1.0,2
81,"Disebabkan pandemik COVID-19, penjarakan sosial perlu menjadi norma baharu sekurang2nya untuk satu tempoh waktu tertentu. Untuk tahun ini, sekurang2nya perlu ada kawalan, pemantauan atau mungkin batalkan perhimpunan sama ada perhimpunan Ramadan, Aidilfitri atau Haji",1.0,1
82,San Bernardino County: COVID-19 Data:,0.0,1
83,DPR RI Bentuk Timwas Covid-19,1.0,1
84,Emang serba salah mas. Nggak konpers juga nnti dikira nggak ada transparansi dalam menanggulangi pandemi covid-19 ini.,0.0,-2
85,Begini Penjelasan Muhaimin Terkait Timwas Covid-19 DPR RI,,1
86,Sehat selalu ya ustadz...semoga Allah SWT selalu melindungi Anda dan keluarga.Begitulah faktanya ustadz.....dana pendidikan di pakai buat penanganan covid 19...jelas2 dana gak ada tp sok2 masih mau pindah ibu kota.....mirissss,-1.0,-1
87,BAZNAS Buka Donasi Covid-19 Lewat Smart Shadaqah BNI Syariah -,1.0,2
88,Lagi bayangin IJAZAH gw bsk ada lambang COVID-19 nya,0.0,2
89,"Mangtanku besok akad, ciyee menikah ditengah pandemi covid-19 ciyee",-1.0,2
90,"Ini adalah wujud cinta kasih dan duka kami warga Maluku atas meninggalnya salah satu putra terbaik Maluku, Kaka tercinta Kami menyadari bahwa virus covid-19 ada dimanadan mengancam kami, tp ketakutan itu terkalahkan org rasa duka kami.Mohon jgn bully kami.",1.0,-1
91,Jawaban paling Wow.. udah bikin apa anda buat penanggulangan covid? Wisma atlit masih butuh relawan ikut yuuu sayang,1.0,2
92,"Demi kesehatan mental lu, baca berita covid sekali sehari aja, Dan apapun yg terjadi setelah lu baca gak usah hiraukan, skip aja udah untk hari esok atau lusa, karna itu gak baik buat lu",1.0,-2
93,"Covid-19 memiliki arti kata Co yakni corona, Vi yakni virus dan D yakni disease atau penyakit. Kemudian ditambahkan angka 19, yakni 2019 mewakili tahun Smg puas dgn jwban ini halo Luna ",1.0,1
94,jalan - Membantu pihak berkuasa dalam menanggani penularan wabak Covid-19 Ft 12 sec 72.00 Ft 03 sec 210.00,0.0,1
95,Ini adalah contoh beberapa kondisi penerapan alat pengaman di Apotek agar meminimalisir penularan COVID-19.Bagaimana kondisi di apotek anda? Silahkan share dan tag medsos kami dengan hashtag,0.0,1
96,Am Mrs. Lestari Abyasa dari Balikpapan. terima kasih kepada RIKA ANDERSON PINJAMAN yang memberikan saya pinjaman tanpa jaminan 100 juta dalam pandemi COVID-19 ini. Anda dapat menghubungi ibu WA +1 (323) 689-3663. Email:rikaandersonloancompany saya +6282235421239,-1.0,1
97,"Menunggu sampai wabah COVID-19 mereda. Sabar ya, karena keselamatan orang banyak lebih penting dari segalanya. ",1.0,-1
98,Para koruptor & kejahatan lain dibebaskan alasan krn pandemi covid-19,-1.0,-2
99,"7. Jgn lgi ada rasa angkuh, sombong,  & rasa besar serba bisa.Bukankh Virus Corona yg kecil &amp; tk tmpak mata itu tlah mndidik kita, bahwa tdk ada yg mampu mncegahnya jka Covid-19 ingin dtang mmpir?, dan Covid-19 tdk mngenal status sosial miskin atau kaya, tua atau muda pmbesar",1.0,-2
100,Sudah 12 Dinyatakan Covid-19 dari Klaster Umrah di Sidrap,0.0,1
101,Ada beberapa Gubernur coba diframing dari pusat sbg dlm penangganan Covid 19. Framing ini dilakukan utk menenggelankan popularitas Gubernur yg dianggap lawan politik padahal sdh mati matian berjuang melawan Covid 19 di daerahnya.,-1.0,-1
102,Lagi-lagi jenazah covid ditolak. Dia perawat yang meninggal grgr terpapar covid-19 ,-1.0,-1
103,Pandemi corona mengancam nasib media lokal ,-1.0,-1
104,"COVID-19: Angka kematian hampiri 100,000 di seluruh dunia",0.0,-1
105,"Yg ada tuh, level presiden menyediakan dana spy rakyat yg terkena dampak covid tetap bisa di rmh tp bisa makan layak yg dikoordinasi dr pusat sampai ke pelosok. Bekerja melalui jalurnya. Bukan bagi2 di jalan. Ini mah kelas cere",-1.0,-2
106,Penghulu & para pengurus masjid Sang Cipta Rasa kota Cirebon menggelar ikhtiar tolak bala dengan bermunajat bersama dan adzan pitu. Semoga wabah COVID 19 segera berakhir. Aamiin...untuk para dokter & tim medis indonesia tetap semangat.,1.0,-1
107,"Min LPDP 2020 ttp ada nggk yaa min, mengingat Dana Tetap Pendidikan di ahlikan ke penanggulangan ekonomi karena Covid-19",0.0,1
108,Leader dlm penyebaran covid 19 kale.... Membuat org antri akibat efek kejutnya,-1.0,1
109,Wii... Yg berdampak Covid-19 itu tdk hanya warga miskin. Berita ini judulnya benar. Isinya yg tdk benar...,-1.0,-2
110,memanusiakan manusia adalah salah satu bentuk penghormatan kita pada sesama. sedih kalo liat jenazah yg meninggal karena covid-19 tidak diterima warga setempat untuk dimakamkan.,1.0,-2
111,Ada ancaman penyebaran COVID-19 yang lebih luas. dr. Dike Afifi menbuat petisi kepada Presiden untuk keluarkan kebijakan menghentikan semua akses transportasi dari dalam dan keluar kota - Tandatangani Petisi!,1.0,-1
112,yaudah di gpp. let covid do ur duties aja,1.0,2
113,Persib Potong 75 Persen Gaji Pemain karena Corona Covid-19,0.0,-1
114,virus Corona COVID-19 melanda saat Indonesia menghadapi musim pancaroba. Ancaman demam berdarah dengue (DBD) juga sedang menghantui.,0.0,1
115,ALLAH MAHA KUASA !!! Kisah Nyata Mengharukan... Pelajar Muslimah Indonesia Yang Terkena Covid-19 di New York Alhamdulillah.. Allahu Akbar ,-1.0,-1
116,"Ngaur kamu,mosok tenaga medis meninggal kamu sangkutkan dgn fatwa mui,emngya semua pasien covid itu dari mesjid sumbernya.hadeuh",-1.0,-2
117,"Sempat Nihil Tiga Hari, Kini Pasien Positif Covid-19 Bertambah Satu Orang",0.0,-1
118,"Lindungi Dokter dari Paparan COVID-19, BPPT RI Luncurkan Aplikasi Mobile Covid Track",1.0,2
119,Semoga insan2 bocah kontol mampus kena covid-19 ya.,-1.0,-2
120,gejala covid-20,0.0,1
121,"Jumat 10/04/2020Kesadaran masyarakat akan pentingnya berdiam diri dirumah dalam memutus penyebaran virus covid 19 sangat besar dan dari kesadaran diri sendiri, terlihat dr pantauan Kijang Patroli 11.34 Klungkung disimpang Lepang bypass IB Mantra Klungkung terpantau tipis lancar",1.0,2
122,"Selamat Pagi. Rute Tebet-Depok tersedia pkl 17:33 WIB, untuk Informasi lengkap jadwal perjalanan KRL mulai 10 April 2020, bisa di lihat pada website link berikut : Tks.",0.0,2
123,"Sangat disayangkan, Gorontalo gagal bertahan sebagai daerah bebas Covid-19 hanya karena keegoisan suatu kaum yang enggan tawakal dan memilih untuk takabur",0.0,-2
124,"Udah pasti sekrg akan berlindung di balik wabah, gak bisa naikkan gaji krn hrs re-alokasikan dana utk respon Covid-19.",0.0,-2
125,"Bayar dlm kereta, x payah ke kaunter""Musim COVID-19 ni, elakkn guna cash!Guna aplikasi SETEL dlm kereta SAHAJA! Gunakn Setel pam minyak Setel & nikmati RM5 PERCUMA slps pembelian petrol RM30 pertama anda!Kod rujukan : Download setel sekarang! ",0.0,2
126,Musim sakit macam ni kan agak2 u all hantu jin momok kena tak covid 19 ni tak,-1.0,-2
127,"3. Langkah yg dapat di ambil pemerintah dalam mengatasi dampak Covid-19 terhadap Perekonomian Indonesia Jawab :Menjaga konsumsi rumah tangga miskin melalui berbagai program yang dapat dilakukan segera coverage besar, dan berdampak langsung ke covid 19",1.0,1
128,Mendikbud Nadiem Makarim mengambil keputusan terkait pencairan dana KIP atau Kartu Indonesia Pintar di tengah pandemi virus corona COVID-19.,1.0,2
129,Kadar kematian COVID-19 di Malaysia masih rendah.,1.0,2
130,Pecah telor Sarjana Covid-19!,0.0,2
131,"Baru dapet info kalo di gang sebelah rumah di Lumajang udah ada yg positif Covid-19, semoga seluruh keluarga disana aman.",1.0,-1
132,Darurat militer saja pemerintah bias mewajibkan rakyat sebagai serdadu. Darurat wabah covid-19 dan kesehatan tentu bisa dilakukan untuk mewajibkan para konglomerat untuk keluarkan hartanya untuk kepentingan bersama.,1.0,-2
133,Tapi anis ni tak main tiktok dan alhamdulillah tak kena covid.,0.0,2
134,"Sbnarnya sudah tdk kaget klo di suruh tinggal rumah, sudah terbiasa dri dulu juga social distancing, krna Ada yg lebih mematikan dalam masyarakat lebih dri covid, yaitu kebodohan~",-1.0,-2
135,Badan POM luncurkan informatorium obat COVID-19 bersamaan dengan FGD online tentang penanggulangan COVID-19.Informatorium ini berisi informasi terkait perkembangan obat COVID-19 di dunia dan tata,1.0,1
136,"Revisi : - kalau tidak ada penambahan jumlah yang positif - maka untuk pasien Covid-19 dengan gejala penyakit yang parah atau kritis, bisa membutuhkan waktu pemulihan klinis sekitar 3 hingga 6 minggu.",1.0,2
137,Syafakallah..semoga Allah memberi kesembuhan pada Dr Tun Muzamal Widan drp wabak Covid 19 dan sihat seperti biasa ..Aamiin Ya Rabbal Alamiin,1.0,-1
138,"sambil menunggu orang2 pintar menemukan obatnya, mari waspada, tak perlu panik berlebihan. faktanya angka kematian 5 bln jauh lebih rendah dr TBC.. COVID-19 Tidak Menyeramkan",0.0,1
139,PSBB versus COVID-19,0.0,2
140,"Dirumah aja , jaga kesehatan dukung pemerintah memerangi covid 19 , dan dirumah ajapun bisa memperoleh investasi dengan untung banyakk...Dengan didukung legalitas aman dan konsep hotel dan berkelas.. perputasan",1.0,1
141,"MEDITATION TO FIGHT COVID-19 ""Meditasi tidak hanya bermanfaat bagi pikiran tetapi juga bagi tubuh. Dalam satu kesatuan yang harmonis kehidupan berlangsung dalam cinta yang mengubah segala sesuatu menjadi",1.0,-1
142,Pdhl gak mutlak begitu ya. Beliau lupa ttg adanya cytokine storm pd pasien COVID-19.,0.0,-2
143,Hrap2 cukup 2k rt. Nak warna hijau. Nak bawak g kerja. Merempit musim covid. ,0.0,1
144,Salam sapa? Mana boleh salam salam pqah musim covid ni. Adoilah,0.0,-1
145,Sebagai bentuk dukungan terhadap tim medis yang tengah berjuang menghadapi dan merawat pasien Covid-19. FPI kembali menyalurkan sejumlah bantuan berupa APD serta makanan dan minuman bernutrisi untuk para Tim Medis.,1.0,2
146,Semoga wabah covid-19 segera berlalu agar lebaran bisa mudik dan berkumpul dgn keluarga,1.0,-1
147,Buat penelitian covid 19,0.0,2
148,"Tulisan ini saya bikin sekitar 2 minggu lalu, br dipublish 4 hari lalu. Saya nulis ttg konser virtual yg banyak dilakukan saat pandemi Covid-19, tp ini jg persiapan utk era 5G nantinya. Serunya semalam liat postingan Jrx di IG menghubungkan konspirasi Covid19 ini dan 5G.",0.0,2
149,"PKP. Semua orang tak nak rugi. Semua nya nak bekerja untuk dapatkan duit. Tapi kena la ingat. Selagi tak selesai kes covid-19, belum tentu kita semua selamat walaupun kita pergi & balik kerja. Lebih baik rugi sementara daripada menyesal selamanya.",1.0,-1
150,"Allhumma inn dzu bika minal barashi, wal jun bni, wal judzmi, wa sayy Bismillahirrahmanirrahim semoga Wabah covid-19 segera berakhir, semoga selalu diberikan kesehatan, keselamatan serta kebahagiaan di dunia akhirat .. Aamiin ",1.0,-1
151,Ketua Wantim MUI Tolak Pengalihan Dana Haji untuk Penanganan Covid-19,1.0,-2
152,"Ada 15 cara menyuruh Covid-19 segera pergi:6. Jangan lagi pernah abaikan rumah, keluarga dengan terlalu sibuk di luar rumah. Bukankan Covid-19 telah mendidik kita untuk banyak tinggal di dalam rumah bersama keluarga ?",1.0,1
153,Kasihan ibu korban covid 19. Yg memohon kepada warga Video : 2,0.0,-1
154,"Bukan karena covid, dia HIV",-1.0,-2
155,Pandemi COVID-19 ketua Komisi Fatwa MUI banten himbau masyarakat tidak ke luar daerah,1.0,1
156,"Update 9 April 2020 Infografis Covid-19: 3293 Positif, 252 Sembuh, 280 Meninggal -",0.0,1
157,Pasien Pertama Covid 19 di Kabupaten Serang Terdeteksi Pulang dari Jakarta,0.0,1
158,"Time musim PKP ni pun runner boleh jual dadah ek? Yg beli dadah pun jenis otak kat mana tah. Time PKP ni kita nak doa supaya covid-19 ni pulih cepat, orang hisap dadah minta mati cepat. Eh marah plak rasa",0.0,-2
159,Cara allah membersihkan bumi ini dari polusi kendaraan ya adanya covid-19 ini,0.0,-1
160,Teknis RS Klaim Biaya Perawatan Pasien Covid-19,0.0,1
161,"Dan terjadi lagi, penolakan warga terhadap jenazah perawat yang menangani COVID-19 di RSUP Kariadi, Semarang! Lokasi: Suwakul, Ungaran.Video : 1",-1.0,-1
162,Wagub Sumbar Minta Data Penerima Bantuan Korban Covid -19 Tidak Duplikasi dan Harus Detail,1.0,-2
163,"Selamat pagi Kak Siti, Mina informasikan Plasa Telkom Depok yakni Di Jl. Arif Rahman Hakim No.100 Depok saat ini tutup sementara hingga batas waktu yang belum ditentukan mengikuti anjuran dari pemerintah terkait waspada Covid-19, dapat diinformasikan keperluannya apa Kak?-",0.0,1
164,Doa Para Kiai Bawa Spirit di Tengah Pandemi Covid-19 via,1.0,-1
165,Pandemi Covid-19: 1.599.423 Kasus dan 95.523 Kematian -,0.0,1
166,"Pusing julz, d rumah lagi rame covid, d sini rame fwb ga ngotak",-1.0,-2
167,"semoga wabah covid-19 segera berlalu dan indonesia kembali baik baik saja, amin paling serius",1.0,-1
168,Ada juga lu sbg ketua mutusin utk potong gaji seluruh anggota dpr selama beberapa bulan kedepan utk biaya penanggulangan wabah covid-19..bukannya galang satgas covid-19 utk nyari dana.!!! Mati kekayaan lo gak lo bawa ke liang lahat!!,-1.0,-2
169,Presiden RI sangat cekatan dalam menghadapi Pandemi Covid-19 A. Sangat Benar SekaliB. Benar SekaliC. BenarD. Benar Semuah,1.0,2
170,biar hukum yg brjalan. yuk fokus lawan covid 19,1.0,2
171,Pasca pandemi covid 19 ada orang gila nambah nggak ???,-1.0,1
172,Sbenarnya ada baiknya covid ni berlaku.. Banyak,-1.0,1
173,Meninggal nya relawan covid kalah tenar dengan glen,-1.0,-2
174,"Legislatif sosialisasikan bahaya corona hingga ke sawah: Wakil rakyat di DPRD Kabupaten Kotabaru, Kalimantan Selatan gencar melakukan sosialisasi kepada masyarakat dalam mengantisipasi bahaya penyebaran virus COVID-19, yang dimulai dari wilayah perkotaan",1.0,1
175,"RS darurat Wisma Atlet Kemayoran rawat 522 pasien: Rumah Sakit Darurat COVID-19 Wisma Atlet di Kemayoran, Jakarta, hingga Kamis, 9 Maret 2020 merawat 522 pasien rawat inap yang terdiri atas 334 pria dan 188 perempuan.Kasdam Jaya Brigjen TNI M Saleh",0.0,1
176,"Wabah Covid-19 Merebak, Perajin Masker di Badung Panen Order",0.0,2
177,2. Dampak Covid-19 terhadap Kerjasama Internasional Jawab:. Adanya kapasitas perawatan kesehatan yang cukup . Harus terintegrasi antara kebijakan pada bidang kesehatan dan ekonomi makro. kerja sama internasional maupun kemitraan lintas batas,1.0,1
